participante;produto
1;B
2;B
3;A
4;A
5;A
6;B
7;B
8;B
9;A
10;A
11;B
12;B
13;B
14;A
15;B
16;A
17;B
18;B
19;B
20;A
21;A
22;A
23;B
24;B
25;A
26;A
27;B
28;B
29;A
30;B
31;A
32;B
33;A
34;B
35;B
36;A
37;B
38;B
39;B
40;A
41;B
42;B
43;A
44;B
45;A
46;B
47;B
48;B
49;A
50;B
51;A
52;A
53;A
54;B
55;B
56;B
57;B
58;B
59;B
60;A
61;A
62;B
63;A
64;A
65;B
66;A
67;A
68;B
69;A
70;A
71;A
72;A
73;B
74;B
75;B
76;B
77;A
78;B
79;A
80;B
81;A
82;A
83;B
84;A
85;A
86;A
87;A
88;A
89;B
90;B
91;B
92;B
93;A
94;B
95;A
96;A
97;A
98;A
99;B
100;A
101;A
102;B
103;A
104;A
105;B
106;A
107;B
108;A
109;A
110;B
111;B
112;A
113;B
114;B
115;A
116;B
117;A
118;B
119;B
120;B
121;B
122;A
123;B
124;A
125;A
126;A
127;B
128;B
129;B
130;B
131;B
132;A
133;A
134;B
135;B
136;A
137;A
138;B
139;A
140;A
141;B
142;B
143;A
144;B
145;A
146;B
147;A
148;A
149;B
150;B
