CurrencyRateID;CurrencyRateDate;FromCurrencyCode;ToCurrencyCode;RateVal
1;2011-05-31 00:00:00.000;USD;ARS;1,0002
2;2011-05-31 00:00:00.000;USD;AUD;1,55
3;2011-05-31 00:00:00.000;USD;BRL;1,9419
4;2011-05-31 00:00:00.000;USD;CAD;1,4683
5;2011-05-31 00:00:00.000;USD;CNY;8,2784
6;2011-05-31 00:00:00.000;USD;DEM;1,8976
7;2011-05-31 00:00:00.000;USD;EUR;0,9703
8;2011-05-31 00:00:00.000;USD;FRF;6,3613
9;2011-05-31 00:00:00.000;USD;GBP;0,6183
10;2011-05-31 00:00:00.000;USD;JPY;104,958
11;2011-05-31 00:00:00.000;USD;MXN;9,384
12;2011-05-31 00:00:00.000;USD;SAR;3,7584
13;2011-05-31 00:00:00.000;USD;VEB;634,60
14;2011-06-01 00:00:00.000;USD;ARS;0,9991
15;2011-06-01 00:00:00.000;USD;AUD;1,5558
16;2011-06-01 00:00:00.000;USD;BRL;1,933
17;2011-06-01 00:00:00.000;USD;CAD;1,4637
18;2011-06-01 00:00:00.000;USD;CNY;8,2774
19;2011-06-01 00:00:00.000;USD;DEM;1,8922
20;2011-06-01 00:00:00.000;USD;EUR;0,967
21;2011-06-01 00:00:00.000;USD;FRF;6,3465
22;2011-06-01 00:00:00.000;USD;GBP;0,6162
23;2011-06-01 00:00:00.000;USD;JPY;105,674
24;2011-06-01 00:00:00.000;USD;MXN;9,3919
25;2011-06-01 00:00:00.000;USD;SAR;3,7507
26;2011-06-01 00:00:00.000;USD;VEB;634,24
27;2011-06-02 00:00:00.000;USD;ARS;1,0004
28;2011-06-02 00:00:00.000;USD;AUD;1,5597
29;2011-06-02 00:00:00.000;USD;BRL;1,944
30;2011-06-02 00:00:00.000;USD;CAD;1,4734
31;2011-06-02 00:00:00.000;USD;CNY;8,2789
32;2011-06-02 00:00:00.000;USD;DEM;1,8802
33;2011-06-02 00:00:00.000;USD;EUR;0,9615
34;2011-06-02 00:00:00.000;USD;FRF;6,3041
35;2011-06-02 00:00:00.000;USD;GBP;0,6163
36;2011-06-02 00:00:00.000;USD;JPY;105,604
37;2011-06-02 00:00:00.000;USD;MXN;9,355
38;2011-06-02 00:00:00.000;USD;SAR;3,757
39;2011-06-02 00:00:00.000;USD;VEB;634,7999
40;2011-06-03 00:00:00.000;USD;ARS;1,00
41;2011-06-03 00:00:00.000;USD;AUD;1,5634
42;2011-06-03 00:00:00.000;USD;BRL;1,925
43;2011-06-03 00:00:00.000;USD;CAD;1,4609
44;2011-06-03 00:00:00.000;USD;CNY;8,2782
45;2011-06-03 00:00:00.000;USD;DEM;1,8801
